Action, Entry Price, Quantity, TP, SL, Exit Price, PnL, Exit Time
Sell,106329.2,2.472187886279535,106207.85,106369.65,106369.65,-100.0,2025-11-10 13:16:26
Sell,106411.27,1.9451468585882419,106257.04000000004,106462.68,106462.68,-100.0,2025-11-10 19:25:46
Buy,105255.39,1.6903313049356676,105432.87000000001,105196.23,105196.23,-100.0,2025-11-10 20:38:10
Buy,105168.9,5.257623554156419,105225.95999999996,105149.88,105225.96,300.0,2025-11-10 20:40:08
Buy,105230.47,0.38785246092386194,106003.96,104972.64,104972.64,-100.0,2025-11-10 21:21:57
Buy,105124.93,1.9739439399925351,105276.90999999996,105074.27,105276.91,300.0,2025-11-10 21:42:04
Buy,105196.0,1.6666666666666667,105376.0,105136.0,105136.0,-100.0,2025-11-10 21:57:29
Buy,105171.79,4.587155963305202,105237.18999999996,105149.99,105237.19,300.0,2025-11-10 22:01:22
Buy,105804.5,10000.00000523869,105804.52999999998,105804.49,105804.53,300.0,2025-11-10 23:48:37
Buy,105874.68,2.2376370552702474,106008.74999999996,105829.99,105829.99,-100.0,2025-11-10 23:50:33
